Failure Number,Time Interval,Estimated Failure Rate,Actual Failure Rate,Percent Difference
1,0.0902,9.6863,10.0,3.14
2,0.213,9.5887,9.9,3.14
3,0.1215,9.4911,9.8,3.15
4,0.1969,9.3935,9.7,3.16
5,0.0948,9.2959,9.6,3.17
6,0.0984,9.1983,9.5,3.18
7,0.0334,9.1006,9.4,3.19
8,0.035,9.003,9.3,3.19
9,0.0499,8.9054,9.2,3.2
10,0.0025,8.8078,9.1,3.21
11,0.0125,8.7102,9.0,3.22
12,0.1591,8.6126,8.9,3.23
13,0.1294,8.515,8.8,3.24
14,0.2972,8.4174,8.7,3.25
15,0.0424,8.3197,8.6,3.26
16,0.0673,8.2221,8.5,3.27
17,0.2435,8.1245,8.4,3.28
18,0.1356,8.0269,8.3,3.29
19,0.1464,7.9293,8.2,3.3
20,0.1678,7.8317,8.1,3.31
21,0.0536,7.7341,8.0,3.32
22,0.0833,7.6365,7.9,3.34
23,0.2464,7.5389,7.8,3.35
24,0.5699,7.4412,7.7,3.36
25,0.2147,7.3436,7.6,3.37
26,0.1661,7.246,7.5,3.39
27,0.2145,7.1484,7.4,3.4
28,0.0454,7.0508,7.3,3.41
29,0.0032,6.9532,7.2,3.43
30,0.0372,6.8556,7.1,3.44
31,0.1549,6.758,7.0,3.46
32,0.0573,6.6603,6.9,3.47
33,0.0388,6.5627,6.8,3.49
34,0.0199,6.4651,6.7,3.51
35,0.0613,6.3675,6.6,3.52
36,0.0267,6.2699,6.5,3.54
37,0.0464,6.1723,6.4,3.56
38,0.2458,6.0747,6.3,3.58
39,0.2358,5.9771,6.2,3.6
40,0.2171,5.8794,6.1,3.62
41,0.2167,5.7818,6.0,3.64
42,0.1273,5.6842,5.9,3.66
43,0.3546,5.5866,5.8,3.68
44,0.1016,5.489,5.7,3.7
45,0.0131,5.3914,5.6,3.72
46,0.3464,5.2938,5.5,3.75
47,0.1688,5.1962,5.4,3.77
48,0.2099,5.0985,5.3,3.8
49,0.0233,5.0009,5.2,3.83
50,0.4703,4.9033,5.1,3.86
51,0.1061,4.8057,5.0,3.89
52,0.1779,4.7081,4.9,3.92
53,0.0771,4.6105,4.8,3.95
54,0.3098,4.5129,4.7,3.98
55,0.183,4.4153,4.6,4.02
56,0.4955,4.3177,4.5,4.05
57,0.4433,4.22,4.4,4.09
58,0.0557,4.1224,4.3,4.13
59,0.1911,4.0248,4.2,4.17
60,0.1276,3.9272,4.1,4.21
61,0.0087,3.8296,4.0,4.26
62,0.9647,3.732,3.9,4.31
63,0.401,3.6344,3.8,4.36
64,0.1633,3.5368,3.7,4.41
65,0.2038,3.4391,3.6,4.47
66,0.344,3.3415,3.5,4.53
67,0.0017,3.2439,3.4,4.59
68,0.1977,3.1463,3.3,4.66
69,0.3269,3.0487,3.2,4.73
70,0.3215,2.9511,3.1,4.8
71,0.3366,2.8535,3.0,4.88
72,0.4021,2.7559,2.9,4.97
73,0.1591,2.6582,2.8,5.06
74,0.8927,2.5606,2.7,5.16
75,0.2858,2.463,2.6,5.27
