Failure Number,Time Interval,Failure Rate Estimated,Failure Rate Actual,Failure Rate Percent Difference,Failure Density Estimated,Failure Density Actual,Failure Density Percent Difference,Failure Distribution Estimated,Failure Distribution Actual,Failure Distribution Percent Difference,Reliability Estimated,Reliability Actual,Reliability Percent Difference,Mean Time to Failure Estimated,Mean Time to Failure Actual,Mean Time to Failure Percent Difference
1,0.0443,24.6447,25.0,-1.4211625317378775,8.277,8.2652,0.14170906806328487,0.9149,0.9179,-0.3234319845401638,0.0851,0.0821,3.616776213818771,0.0406,0.04,1.4416507317764096
2,0.0441,24.5458,24.9,-1.4224198465248798,8.3214,8.3107,0.128303280603053,0.9141,0.9171,-0.32593844755399165,0.0859,0.0829,3.605295166663775,0.0407,0.0402,1.442944576556166
3,0.0605,24.4469,24.8,-1.4236873009472615,5.5714,5.5324,0.7044012611288858,0.9132,0.9163,-0.32846435790183137,0.0868,0.0837,3.5938153916430284,0.0409,0.0403,1.4442488889736471
4,0.0227,24.348,24.7,-1.4249650181585023,13.9946,14.0837,-0.632685718070273,0.9124,0.9154,-0.3310098850770144,0.0876,0.0846,3.5823368886155116,0.0411,0.0405,1.4455637965748658
5,0.0329,24.2491,24.6,-1.4262531233145357,10.9251,10.956,-0.28249041366134897,0.9115,0.9146,-0.3335752006566047,0.0885,0.0854,3.570859657440236,0.0412,0.0407,1.446889428986363
6,0.0377,24.1502,24.5,-1.4275517436147003,9.7274,9.7391,-0.12081805271761296,0.9106,0.9137,-0.33616047834116997,0.0894,0.0863,3.559383697976325,0.0414,0.0408,1.4482259179580026
7,0.0376,24.0514,24.4,-1.4288610083435687,9.7319,9.7443,-0.12753909467253632,0.9097,0.9128,-0.3387658939953756,0.0903,0.0872,3.5479090100829334,0.0416,0.041,1.4495733974064255
8,0.004,23.9525,24.3,-1.4301810489138127,21.7496,22.0343,-1.2921042383873267,0.9088,0.912,-0.3413916256896385,0.0912,0.088,3.5364355936190397,0.0417,0.0412,1.4509320034599218
9,0.0746,23.8536,24.2,-1.4315119989102718,4.0199,3.9742,1.1507792848642568,0.9079,0.9111,-0.3440378537429251,0.0921,0.0889,3.5249634484439087,0.0419,0.0413,1.4523018745042064
10,0.0181,23.7547,24.1,-1.4328539941348877,15.4679,15.5952,-0.8162238315082988,0.907,0.9102,-0.3467047607664609,0.093,0.0898,3.513492574416492,0.0421,0.0415,1.4536831512293438
11,0.0093,23.6558,24.0,-1.434207172653057,18.9927,19.2076,-1.1188220489502445,0.9061,0.9093,-0.3493925317087997,0.0939,0.0907,3.502022971396153,0.0423,0.0417,1.4550759766781385
12,0.1165,23.5569,23.9,-1.4355716748408491,1.513,1.4749,2.5853910577176578,0.9052,0.9084,-0.35210135390175673,0.0948,0.0916,3.490554639241914,0.0425,0.0418,1.4564804962952482
13,0.1063,23.458,23.8,-1.4369476434335657,1.9378,1.8959,2.2122360342173772,0.9042,0.9074,-0.3548314171078025,0.0958,0.0926,3.479087577813051,0.0426,0.042,1.457896857977983
14,0.0196,23.3591,23.7,-1.438335223575603,14.7759,14.8917,-0.7773884846013662,0.9033,0.9065,-0.3575829135684578,0.0967,0.0935,3.4676217869687136,0.0428,0.0422,1.4593252121281561
15,0.0932,23.2602,23.6,-1.4397345628713714,2.6621,2.6168,1.7310226228843923,0.9023,0.9056,-0.3603560380540845,0.0977,0.0944,3.4561572665680913,0.043,0.0424,1.4607657117053703
16,0.0031,23.1613,23.5,-1.441145811437742,21.5439,21.8358,-1.3367629791456095,0.9013,0.9046,-0.36315098791489514,0.0987,0.0954,3.4446940164704247,0.0432,0.0426,1.4622185122815576
17,0.0031,23.0624,23.4,-1.4425691219576713,21.4715,21.763,-1.3394002551970448,0.9004,0.9037,-0.365967963133346,0.0996,0.0963,3.4332320365350473,0.0434,0.0427,1.4636837720970468
18,0.0048,22.9635,23.3,-1.4440046497352823,20.5736,20.8414,-1.2851783601239162,0.8994,0.9027,-0.3688071663778374,0.1006,0.0973,3.4217713266211023,0.0435,0.0429,1.4651616521180097
19,0.122,22.8647,23.2,-1.4454525527523707,1.4049,1.3683,2.6704672883888074,0.8984,0.9017,-0.3716688030579623,0.1016,0.0983,3.4103118865879765,0.0437,0.0431,1.4666523160953662
20,0.1455,22.7658,23.1,-1.446912991726302,0.8284,0.8006,3.4660373104191518,0.8974,0.9007,-0.3745530813809854,0.1026,0.0993,3.3988537162948402,0.0439,0.0433,1.4681559306253231
21,0.0055,22.6669,23.0,-1.4483861301695717,19.9909,20.2473,-1.2662613716226578,0.8963,0.8997,-0.377460212410078,0.1037,0.1003,3.3873968156011327,0.0441,0.0435,1.469672665211383
22,0.1198,22.568,22.9,-1.4498721344507894,1.5101,1.4725,2.550160772314503,0.8953,0.8987,-0.3803904101239694,0.1047,0.1013,3.375941184366112,0.0443,0.0437,1.4712026923281392
23,0.0302,22.4691,22.8,-1.4513711738572652,11.4097,11.4628,-0.46288871377138513,0.8943,0.8977,-0.38334389147817705,0.1057,0.1023,3.364486822449079,0.0445,0.0439,1.4727461874865269
24,0.1238,22.3702,22.7,-1.4528834206594086,1.402,1.3658,2.654629820113005,0.8932,0.8967,-0.3863208764679681,0.1068,0.1033,3.3530337297094843,0.0447,0.0441,1.4743033293010541
25,0.0799,22.2713,22.6,-1.4544090501765836,3.7607,3.7174,1.166776285142308,0.8922,0.8956,-0.38932158819297413,0.1078,0.1044,3.3415819060065397,0.0449,0.0442,1.4758742995585856
26,0.0259,22.1724,22.5,-1.4559482408450386,12.4903,12.5678,-0.6168333312659476,0.8911,0.8946,-0.392346252923505,0.1089,0.1054,3.3301313511998063,0.0451,0.0444,1.4774592832892934
27,0.3575,22.0735,22.4,-1.4575011742873343,0.0083,0.0075,10.741899581069704,0.89,0.8935,-0.3953951001688432,0.11,0.1065,3.3186820651486473,0.0453,0.0446,1.4790584688390565
28,0.0045,21.9746,22.3,-1.4590680353838057,19.9156,20.1811,-1.3154146516336813,0.8889,0.8925,-0.39846836274715053,0.1111,0.1075,3.3072340477124227,0.0455,0.0448,1.4806720479442304
29,0.0053,21.8757,22.2,-1.4606490123460265,19.47,19.7245,-1.2903311738961216,0.8878,0.8914,-0.40156627685758095,0.1122,0.1086,3.2957872987506422,0.0457,0.045,1.4823002158082381
30,0.0578,21.7768,22.1,-1.4622442967920526,6.1812,6.1568,0.39652763513956213,0.8867,0.8903,-0.40468908215413646,0.1133,0.1097,3.2843418181227118,0.0459,0.0452,1.4839431711802658
31,0.0593,21.678,22.0,-1.4638540838239515,5.9888,5.9627,0.4373642221701082,0.8856,0.8892,-0.40783702182167986,0.1144,0.1108,3.2728976056880397,0.0461,0.0455,1.485601116436233
32,0.0588,21.5791,21.9,-1.4654785721072834,6.0722,6.0474,0.4103823401000395,0.8844,0.8881,-0.41101034265416503,0.1156,0.1119,3.2614546613061837,0.0463,0.0457,1.487274257661775
33,0.0285,21.4802,21.8,-1.4671179639528475,11.648,11.7142,-0.5651425406920039,0.8833,0.887,-0.41420929513481003,0.1167,0.113,3.2500129848365886,0.0466,0.0459,1.4889628047377443
34,0.0349,21.3813,21.7,-1.4687724654006913,10.143,10.1804,-0.367352300104915,0.8821,0.8858,-0.41743413351873637,0.1179,0.1142,3.238572576138856,0.0468,0.0461,1.4906669714278504
35,0.0439,21.2824,21.6,-1.470442286306369,8.3619,8.3692,-0.08713720677587707,0.881,0.8847,-0.42068511591784474,0.119,0.1153,3.227133435072407,0.047,0.0463,1.4923869754689962
36,0.094,21.1835,21.5,-1.4721276404297745,2.8934,2.8506,1.502594083131571,0.8798,0.8835,-0.42396250438811883,0.1202,0.1165,3.215695561496829,0.0472,0.0465,1.4941230386639754
37,0.0046,21.0846,21.4,-1.4738287455263117,19.1555,19.4141,-1.3323068585765845,0.8786,0.8823,-0.427266565019444,0.1214,0.1177,3.2042589552717256,0.0474,0.0467,1.4958753869768213
38,0.0693,20.9857,21.3,-1.4755458234406407,4.9046,4.8708,0.6929360748443026,0.8774,0.8812,-0.430597568027865,0.1226,0.1188,3.1928236162566273,0.0477,0.0469,1.497644250630824
39,0.0468,20.8868,21.2,-1.4772791002032346,7.8605,7.8623,-0.022943251008375104,0.8761,0.88,-0.43395578785067523,0.1239,0.12,3.181389544311122,0.0479,0.0472,1.4994298642094066
40,0.0117,20.7879,21.1,-1.4790288061294212,16.3163,16.5011,-1.120140688262685,0.8749,0.8788,-0.437341503244131,0.1251,0.1212,3.1699567392947166,0.0481,0.0474,1.50123246675976
41,0.0125,20.689,21.0,-1.4807951759215887,15.9685,16.1456,-1.0965450726021726,0.8737,0.8775,-0.4407549973840263,0.1263,0.1225,3.158525201067187,0.0483,0.0476,1.5030523018997093
42,0.0705,20.5901,20.9,-1.482578448773985,4.8172,4.784,0.6947501722715035,0.8724,0.8763,-0.44419655796921786,0.1276,0.1237,3.1470949294881576,0.0486,0.0478,1.5048896179272224
43,0.1771,20.4912,20.8,-1.4843788684807144,0.5441,0.5229,4.051925952295331,0.8712,0.8751,-0.44766647732807885,0.1288,0.1249,3.13566592441717,0.0488,0.0481,1.5067446679334784
44,0.0014,20.3924,20.7,-1.4861966835469462,19.8059,20.0959,-1.4428199313611405,0.8699,0.8738,-0.4511650525283449,0.1301,0.1262,3.1242381857140176,0.049,0.0483,1.5086177099191644
45,0.0087,20.2935,20.6,-1.4880321473031244,17.0165,17.2276,-1.2256146385701332,0.8686,0.8725,-0.45469258548971897,0.1314,0.1275,3.1128117132382562,0.0493,0.0485,1.5105090069139007
46,0.0052,20.1946,20.5,-1.4898855180227772,18.1657,18.411,-1.3320146217942985,0.8673,0.8713,-0.45824938310041646,0.1327,0.1287,3.1013865068497273,0.0495,0.0488,1.5124188270995769
47,0.0666,20.0957,20.4,-1.491757059043603,5.2673,5.2397,0.5260808900175731,0.866,0.87,-0.46183575733668253,0.134,0.13,3.0899625664079946,0.0498,0.049,1.5143474439369853
48,0.0151,19.9968,20.3,-1.4936470388922205,14.7998,14.9558,-1.043090074770696,0.8646,0.8687,-0.46545202538613084,0.1354,0.1313,3.0785398917728983,0.05,0.0493,1.5162951362963804
49,0.0345,19.8979,20.2,-1.4955557314126238,10.0101,10.0567,-0.46270872288005627,0.8633,0.8673,-0.46909850977478246,0.1367,0.1327,3.0671184828041542,0.0503,0.0495,1.5182621885919712
50,0.0184,19.799,20.1,-1.4974834158983867,13.7529,13.8849,-0.950317598307421,0.8619,0.866,-0.47277553849787685,0.1381,0.134,3.055698339361481,0.0505,0.0498,1.520248890920293
51,0.0934,19.7001,20.0,-1.4994303772290074,3.1305,3.0904,1.2976384165065404,0.8605,0.8647,-0.4764834451546219,0.1395,0.1353,3.0442794613046655,0.0508,0.05,1.5222555392028632
52,0.0452,19.6012,19.9,-1.5013969060102046,8.0775,8.0905,-0.1613518662510349,0.8592,0.8633,-0.48022256908724864,0.1408,0.1367,3.032861848493578,0.051,0.0503,1.5242824353331579
53,0.0122,19.5023,19.8,-1.503383298718467,15.3688,15.5468,-1.1446366802835208,0.8578,0.8619,-0.48399325552403616,0.1422,0.1381,3.0214455007879386,0.0513,0.0505,1.5263298873279034
54,0.155,19.4034,19.7,-1.5053898578501812,0.9583,0.9292,3.1286776893367008,0.8563,0.8605,-0.48779585572701833,0.1437,0.1395,3.01003041804763,0.0515,0.0508,1.5283982094833064
55,0.1664,19.3045,19.6,-1.5074168920750401,0.7769,0.751,3.4565452786611517,0.8549,0.8591,-0.4916307271440612,0.1451,0.1409,2.9986166001323498,0.0518,0.051,1.5304877225356812
56,0.0466,19.2057,19.5,-1.5094647163945314,7.8428,7.8544,-0.14825387905955342,0.8535,0.8577,-0.49549823356581907,0.1465,0.1423,2.9872040469021677,0.0521,0.0513,1.5325987538274632
57,0.006,19.1068,19.4,-1.5115336523049632,17.0308,17.2617,-1.3375263652310085,0.852,0.8563,-0.49939874528748884,0.148,0.1437,2.975792758216823,0.0523,0.0515,1.5347316374780082
58,0.0189,19.0079,19.3,-1.513624027965744,13.2655,13.3951,-0.9676855662914198,0.8505,0.8549,-0.5033326392756666,0.1495,0.1451,2.9643827339362008,0.0526,0.0518,1.5368867145599365
59,0.0153,18.909,19.2,-1.5157361783730097,14.1459,14.2996,-1.0748715857471007,0.8491,0.8534,-0.5073002993405754,0.1509,0.1466,2.9529739739202756,0.0529,0.0521,1.5390643332809797
60,0.0236,18.8101,19.1,-1.5178704455384482,12.072,12.1746,-0.8423868358003779,0.8476,0.8519,-0.5113021163135578,0.1524,0.1481,2.9415664780288524,0.0532,0.0524,1.5412648491715013
61,0.0859,18.7112,19.0,-1.520027178674049,3.7504,3.715,0.9536033813750338,0.846,0.8504,-0.515338488230416,0.154,0.1496,2.930160246121942,0.0534,0.0526,1.5434886252780209
62,0.115,18.6123,18.9,-1.5222067343825132,2.1886,2.1501,1.790708095883717,0.8445,0.8489,-0.5194098205205728,0.1555,0.1511,2.9187552780594963,0.0537,0.0529,1.5457360323629166
63,0.1589,18.5134,18.8,-1.5244094768538337,0.9762,0.9472,3.0649910700907044,0.843,0.8474,-0.5235165262022051,0.157,0.1526,2.9073515737013835,0.054,0.0532,1.5480074491104734
64,0.0514,18.4145,18.7,-1.526635778068163,7.1439,7.149,-0.07043648060830075,0.8414,0.8459,-0.5276590260839575,0.1586,0.1541,2.8959491329077176,0.0543,0.0535,1.550303262339609
65,0.1661,18.3156,18.6,-1.528886018005246,0.8742,0.8468,3.233922448617615,0.8398,0.8443,-0.5318377489728933,0.1602,0.1557,2.884547955538415,0.0546,0.0538,1.552623867223436
66,0.0707,18.2167,18.5,-1.5311605848605485,5.0293,5.0063,0.45939770140386643,0.8382,0.8428,-0.5360531318895562,0.1618,0.1572,2.8731480414534625,0.0549,0.0541,1.5549696675160862
67,0.0159,18.1178,18.4,-1.533459875268645,13.5724,13.7219,-1.0895081085616902,0.8366,0.8412,-0.5403056202898573,0.1634,0.1588,2.8617493905129536,0.0552,0.0543,1.557341075786923
68,0.0555,18.019,18.3,-1.5357842945336417,6.6305,6.6298,0.011629340593259985,0.835,0.8396,-0.5445956682944816,0.165,0.1604,2.8503520025768574,0.0555,0.0546,1.5597385136622555
69,0.1676,17.9201,18.2,-1.5381342568674845,0.8892,0.8617,3.1915745358330407,0.8334,0.838,-0.5489237389258442,0.1666,0.162,2.8389558775052843,0.0558,0.0549,1.5621624120755315
