Failure Number,Time Interval,Estimated Failure Rate,Actual Failure Rate,Percent Difference
1,0.1107,7.6033,10.0,23.97
2,0.1108,7.5345,9.9,23.89
3,0.1531,7.4657,9.8,23.82
4,0.0579,7.3969,9.7,23.74
5,0.0843,7.3281,9.6,23.67
6,0.0971,7.2593,9.5,23.59
7,0.0976,7.1905,9.4,23.51
8,0.0105,7.1217,9.3,23.42
9,0.1964,7.0529,9.2,23.34
10,0.0478,6.9841,9.1,23.25
11,0.0247,6.9153,9.0,23.16
12,0.313,6.8465,8.9,23.07
13,0.2875,6.7777,8.8,22.98
14,0.0534,6.7089,8.7,22.89
15,0.2557,6.6401,8.6,22.79
16,0.0086,6.5713,8.5,22.69
17,0.0086,6.5025,8.4,22.59
18,0.0134,6.4337,8.3,22.49
19,0.3452,6.3649,8.2,22.38
20,0.4151,6.2961,8.1,22.27
21,0.0159,6.2274,8.0,22.16
22,0.3474,6.1586,7.9,22.04
23,0.0882,6.0898,7.8,21.93
24,0.365,6.021,7.7,21.81
25,0.2375,5.9522,7.6,21.68
26,0.0776,5.8834,7.5,21.55
27,1.0821,5.8146,7.4,21.42
28,0.0137,5.7458,7.3,21.29
29,0.0164,5.677,7.2,21.15
30,0.18,5.6082,7.1,21.01
31,0.1865,5.5394,7.0,20.87
32,0.1865,5.4706,6.9,20.72
33,0.0913,5.4018,6.8,20.56
34,0.113,5.333,6.7,20.4
35,0.1437,5.2642,6.6,20.24
36,0.3109,5.1954,6.5,20.07
37,0.0152,5.1266,6.4,19.9
38,0.2342,5.0578,6.3,19.72
39,0.16,4.989,6.2,19.53
40,0.0403,4.9202,6.1,19.34
41,0.0438,4.8514,6.0,19.14
42,0.2499,4.7826,5.9,18.94
43,0.6351,4.7138,5.8,18.73
44,0.0052,4.645,5.7,18.51
45,0.0319,4.5763,5.6,18.28
46,0.0195,4.5075,5.5,18.05
47,0.2517,4.4387,5.4,17.8
48,0.0576,4.3699,5.3,17.55
49,0.1341,4.3011,5.2,17.29
50,0.0725,4.2323,5.1,17.01
51,0.3735,4.1635,5.0,16.73
52,0.1837,4.0947,4.9,16.43
53,0.0504,4.0259,4.8,16.13
54,0.6498,3.9571,4.7,15.81
55,0.7091,3.8883,4.6,15.47
56,0.2021,3.8195,4.5,15.12
57,0.0265,3.7507,4.4,14.76
58,0.0849,3.6819,4.3,14.37
59,0.0702,3.6131,4.2,13.97
60,0.1098,3.5443,4.1,13.55
61,0.408,3.4755,4.0,13.11
62,0.5574,3.4067,3.9,12.65
63,0.7863,3.3379,3.8,12.16
64,0.2599,3.2691,3.7,11.65
65,0.8582,3.2003,3.6,11.1
66,0.3735,3.1315,3.5,10.53
67,0.0863,3.0627,3.4,9.92
68,0.3077,2.9939,3.3,9.28
69,0.9532,2.9252,3.2,8.59
70,0.1168,2.8564,3.1,7.86
71,0.3939,2.7876,3.0,7.08
72,0.0345,2.7188,2.9,6.25
73,0.1488,2.65,2.8,5.36
74,0.3775,2.5812,2.7,4.4
75,0.1415,2.5124,2.6,3.37
